2020-12-23 08:46:10.020 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-12-23 08:46:10.035 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-12-23 08:46:10.044 [restartedMain] INFO  com.example.demo.DemoApplication - Started DemoApplication in 2.354 seconds (JVM running for 3.02)
2020-12-23 08:46:30.605 [main] INFO  com.example.demo.DemoApplication - Processing trade with id: 0 and symbol : 测试 
2020-12-23 08:46:30.610 [main] INFO  com.example.demo.DemoApplication - info
2020-12-23 08:46:30.808 [restartedMain] INFO  com.example.demo.DemoApplication - Processing trade with id: 0 and symbol : 测试 
2020-12-23 08:46:30.808 [restartedMain] INFO  com.example.demo.DemoApplication - info
2020-12-23 08:46:31.180 [restartedMain] INFO  com.example.demo.DemoApplication - Starting DemoApplication using Java 1.8.0_271 on LAPTOP-6KUNQTUN with PID 20528 (C:\Users\wjw\Desktop\item\demo\target\classes started by wjw in C:\Users\wjw\Desktop\item\demo)
2020-12-23 08:46:31.181 [restartedMain] INFO  com.example.demo.DemoApplication - No active profile set, falling back to default profiles: default
2020-12-23 08:46:31.238 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-12-23 08:46:31.239 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-12-23 08:46:32.546 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-12-23 08:46:32.557 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-12-23 08:46:32.558 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-12-23 08:46:32.558 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.39]
2020-12-23 08:46:32.560 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.25] using APR version [1.7.0].
2020-12-23 08:46:32.561 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2020-12-23 08:46:32.561 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2020-12-23 08:46:32.563 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1g  21 Apr 2020]
2020-12-23 08:46:32.625 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-12-23 08:46:32.626 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1387 ms
2020-12-23 08:46:32.827 [restartedMain] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-12-23 08:46:33.014 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2020-12-23 08:46:33.025 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-12-23 08:46:33.042 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-12-23 08:46:33.051 [restartedMain] INFO  com.example.demo.DemoApplication - Started DemoApplication in 2.238 seconds (JVM running for 2.828)
2020-12-23 08:47:49.279 [main] INFO  com.example.demo.DemoApplication - Processing trade with id: 0 and symbol : 测试 
2020-12-23 08:47:49.283 [main] INFO  com.example.demo.DemoApplication - info
